Advertising_Number,Block,Lot,Qual,Face_Value,Winning_Bidder_number,Name, WinningBid
0388,359,59.02,,112.09,9000235,LINGUINI INC,$2100.00
0389,364,7,,384.61,9000235,LINGUINI INC,$100.00
0390,364,11,,565.66,9000235,LINGUINI INC,$100.00
0391,366,10,,155,9000235,LINGUINI INC,$500.00
0392,366,23,,519.25,9000235,LINGUINI INC,$900.00
0393,366,38,,155,9000235,LINGUINI INC,$1300.00
0394,368,8,,428.61,9000237,ARTHUR FONZARELLI,$1400.00
0395,368,12,,549.27,9000237,ARTHUR FONZARELLI,$1200.00
0396,371,8,,318.44,9000237,ARTHUR FONZARELLI,$1000.00
0397,373,3,,269.22,9000237,ARTHUR FONZARELLI,$800.00
0398,376,15,,10442.66,9000237,ARTHUR FONZARELLI,$600.00
0399,377,1,,9163.58,9000237,ARTHUR FONZARELLI,$400.00
0400,377,13,,269.62,9000237,ARTHUR FONZARELLI,$200.00
0401,377,24,,1252.78,9000237,ARTHUR FONZARELLI,$100.00
0402,381,3,,270.14,9000237,ARTHUR FONZARELLI,$200.00
0403,385,17,,386.42,9000237,ARTHUR FONZARELLI,$200.00
0404,386,14,,750.26,9000237,ARTHUR FONZARELLI,$200.00
0405,388,31,,426.91,9000237,ARTHUR FONZARELLI,$200.00
0406,389,1,,628.8,9000237,ARTHUR FONZARELLI,$200.00
0407,389,31,,268.62,9000237,ARTHUR FONZARELLI,$600.00
0408,390,3,,268.55,9000237,ARTHUR FONZARELLI,$600.00
0409,390,19,,589.97,9000237,ARTHUR FONZARELLI,$200.00
0410,390,25,,449.1,9000237,ARTHUR FONZARELLI,$200.00
0411,392,9,,586.01,9000237,ARTHUR FONZARELLI,$200.00
0412,393,11,,379.63,9000237,ARTHUR FONZARELLI,$200.00
0413,393,24,,269.06,9000237,ARTHUR FONZARELLI,$200.00
0414,393,25,,703.47,9000237,ARTHUR FONZARELLI,$200.00
0415,393,26,,539.76,9000636,NATASHA PALMER,4.00%
0416,394,8,,580.86,9000636,NATASHA PALMER,2.00%
0417,396,33,,865.52,9000636,NATASHA PALMER,0.00%
0418,399,10,,487.89,9000235,LINGUINI INC,$200.00
0419,399,17,,155,9000235,LINGUINI INC,$200.00
0420,400,4,,270.14,9000235,LINGUINI INC,$200.00
0421,400,21,,6234.17,9000235,LINGUINI INC,$600.00
0422,400,27,,358.04,9000235,LINGUINI INC,$600.00
0423,400,29,,205.14,9000235,LINGUINI INC,$600.00
0424,402,6,,2341.29,9000235,LINGUINI INC,$600.00
0425,402,20,,1624.5,9000235,LINGUINI INC,$600.00
0426,406,3,,527.27,9000235,LINGUINI INC,$600.00
0427,406,8,,270.14,9000235,LINGUINI INC,$1100.00
0428,406,11,,320.03,9000235,LINGUINI INC,$1100.00
0429,409,6,,274.47,9000235,LINGUINI INC,$1100.00
0430,411,13,,270.14,9000235,LINGUINI INC,$1100.00
0431,411,17,,369.92,9000235,LINGUINI INC,$1100.00
0432,413,7,,270.14,9000235,LINGUINI INC,$1100.00
0433,415,15,,591.22,9000235,LINGUINI INC,0.00%
0434,416,8,,531.21,9000235,LINGUINI INC,$1100.00
0435,417,22,,303.69,9000235,LINGUINI INC,$1100.00
0436,419,6,,685.84,9000235,LINGUINI INC,$1600.00
0437,419,18,,268.94,9000235,LINGUINI INC,$1700.00
0438,419,31,,8136.48,9000235,LINGUINI INC,$2100.00
0439,419,35,,269.55,9000235,LINGUINI INC,$2500.00
0440,420,4,,706.5,9000235,LINGUINI INC,$2900.00
0441,421,21,,646.26,9000237,ARTHUR FONZARELLI,$1600.00
0442,421,29,,270.14,9000237,ARTHUR FONZARELLI,$1600.00
0443,421,32,,502.14,9000237,ARTHUR FONZARELLI,$2100.00
0444,421,71,,5503.36,9000237,ARTHUR FONZARELLI,$2100.00
0445,422,1.01,,818.68,9000237,ARTHUR FONZARELLI,$2100.00
0446,422,26,,98.65,9000237,ARTHUR FONZARELLI,$2100.00
0447,426,1,,16978.21,9000237,ARTHUR FONZARELLI,$2600.00
0448,426,5,,592.52,9000237,ARTHUR FONZARELLI,$2600.00
0449,430,8,,993.71,9000237,ARTHUR FONZARELLI,$2600.00
0450,430,9,,350,9000237,ARTHUR FONZARELLI,$2600.00
0451,432,13,,446.68,9000237,ARTHUR FONZARELLI,$200.00
0452,433,1.01,,820.48,9000237,ARTHUR FONZARELLI,1.00%
0453,433,14,,692.14,9000237,ARTHUR FONZARELLI,4.00%
0454,438,1,,635.61,9000237,ARTHUR FONZARELLI,1.00%
0455,439,3,,571.35,9000237,ARTHUR FONZARELLI,4.00%
0456,439,19,,8897.54,9000237,ARTHUR FONZARELLI,4.00%
0457,439,60,,488.43,9000237,ARTHUR FONZARELLI,4.00%
0458,440,12,,601.43,9000237,ARTHUR FONZARELLI,4.00%
0459,440,21,,726.6,9000237,ARTHUR FONZARELLI,4.00%
0460,443,11,,627.1,9000237,ARTHUR FONZARELLI,4.00%
0461,445,16,,631.55,9000237,ARTHUR FONZARELLI,4.00%
0462,446,4,,761.15,9000636,NATASHA PALMER,7.00%
0463,446,15.01,,574.72,9000636,NATASHA PALMER,7.00%
0464,448,10,,829.84,9000636,NATASHA PALMER,7.00%
0465,,,,762.83,9000636,NATASHA PALMER,7.00%
0466,457,24.01,,270.14,9000636,NATASHA PALMER,7.00%
0467,457,34.01,,568.87,9000237,ARTHUR FONZARELLI,5.00%
0468,461,1,,10242.18,9000237,ARTHUR FONZARELLI,4.00%
