Advertising_Number,Block,Lot,Qual,Face_Value,Winning_Bidder_number,Name, WinningBid
0049,37,1,,261.03,9000237,ARTHUR FONZARELLI,$300.00
0051,40,34,,880.93,9000237,ARTHUR FONZARELLI,1.00%
0052,40,35,,1320.7,9000234,GEORGE WASHINGTON,$2900.00
0053,40,47,,1142.38,9000237,ARTHUR FONZARELLI,$400.00
0054,41,1,,12371.83,9000237,ARTHUR FONZARELLI,$200.00
0055,41,19,,205.14,9000234,GEORGE WASHINGTON,$4100.00
0056,41,23,,1417.24,9000237,ARTHUR FONZARELLI,1.00%
0057,41,38,,1350.31,9000237,ARTHUR FONZARELLI,3.00%
0058,42,4,,592.71,9000237,ARTHUR FONZARELLI,5.00%
0059,42,13,,748.56,9000237,ARTHUR FONZARELLI,7.00%
0060,45,10,,887.28,9000237,ARTHUR FONZARELLI,9.00%
0061,50,1,,5439.76,9000237,ARTHUR FONZARELLI,11.00%
0062,51,2,,15447.62,9000237,ARTHUR FONZARELLI,9.00%
0063,51,28,,6365.46,9000237,ARTHUR FONZARELLI,15.00%
0064,51,30,,753.47,9000237,ARTHUR FONZARELLI,14.00%
0065,51,33,,155,9000237,ARTHUR FONZARELLI,12.00%
0066,52,1.01,,485.04,9000237,ARTHUR FONZARELLI,10.00%
0067,52,8,,1338.05,9000237,ARTHUR FONZARELLI,8.00%
0068,52,12,,717.39,9000237,ARTHUR FONZARELLI,6.00%
0069,53,1,,390.35,9000237,ARTHUR FONZARELLI,1.00%
0070,53,2,,728.21,9000237,ARTHUR FONZARELLI,2.00%
0071,53,4,,220,9000237,ARTHUR FONZARELLI,0.00%
0072,53,6,,444.22,9000235,LINGUINI INC,$100.00
0073,53,8,,100,9000235,LINGUINI INC,$100.00
0074,53,16,,155,9000235,LINGUINI INC,7.00%
0075,55,7,,738.2,9000235,LINGUINI INC,11.00%
0076,56,4,,220,9000235,LINGUINI INC,15.00%
0077,56,5,,748.92,9000235,LINGUINI INC,9.00%
0078,59,6,,12749.13,9000235,LINGUINI INC,8.00%
0079,59,10,,420.07,9000235,LINGUINI INC,1.00%
0080,60,1,,1095.66,9000235,LINGUINI INC,0.00%
0081,60,2,,4004.21,9000235,LINGUINI INC,3.00%
0082,60,4,,3501.55,9000235,LINGUINI INC,7.00%
0083,61,6,,155,9000235,LINGUINI INC,11.00%
0084,61,10,,270.14,9000235,LINGUINI INC,18.00%
0085,61,15,,4592.05,9000235,LINGUINI INC,18.00%
0086,62,2,,717.77,9000235,LINGUINI INC,18.00%
0087,62,5,,924.64,9000235,LINGUINI INC,4.00%
0088,62,7,,858.92,9000235,LINGUINI INC,18.00%
0089,62,8,,1980.11,9000235,LINGUINI INC,18.00%
0090,63,2,,289.74,9000235,LINGUINI INC,$900.00
0091,64,3,,241.77,9000235,LINGUINI INC,$1300.00
0092,64,7,,8274.28,9000235,LINGUINI INC,$1700.00
0093,65,5,,7289.14,9000235,LINGUINI INC,$2100.00
0094,65,11,,155,9000235,LINGUINI INC,$2500.00
0095,66,7,,438.76,9000235,LINGUINI INC,$2900.00
0096,67,4,,668.13,9000235,LINGUINI INC,$3300.00
0097,68,9,,356.82,9000235,LINGUINI INC,$3700.00
0098,69,20,,15768.71,9000235,LINGUINI INC,$4100.00
0099,72,10,,511.93,9000235,LINGUINI INC,$4500.00
0100,73,3,,220,9000237,ARTHUR FONZARELLI,$4800.00
0101,73,4,,928.92,9000237,ARTHUR FONZARELLI,$4600.00
0102,73,12,,12115.46,9000237,ARTHUR FONZARELLI,$4400.00
0103,74,3,,450.28,9000237,ARTHUR FONZARELLI,$4200.00
0104,74,15,,155,9000237,ARTHUR FONZARELLI,$4000.00
0105,75,4,,680.79,9000237,ARTHUR FONZARELLI,$3800.00
0106,75,6,,350,9000235,LINGUINI INC,$3500.00
0107,76,9,,135.71,9000235,LINGUINI INC,$3200.00
0108,76,13,,577.17,9000235,LINGUINI INC,$2800.00
0109,76,16,,1055.31,9000235,LINGUINI INC,$2400.00
0110,77,5,,335.14,9000235,LINGUINI INC,$2000.00
0111,77,6,,364.58,9000235,LINGUINI INC,$1600.00
0112,78,3,,4468.57,9000235,LINGUINI INC,$1200.00
0113,78,11,,3779.06,9000235,LINGUINI INC,$800.00
0114,79,8,,6438.45,9000235,LINGUINI INC,$400.00
0115,81,1,,6389.51,9000235,LINGUINI INC,$100.00
0116,81,3.01,,1045.43,9000235,LINGUINI INC,3.00%
0117,81,6,,1020.83,9000235,LINGUINI INC,7.00%
